Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
ssn-REGNET;30.0;20.0;10.0;traffic_cone;2.0;0.2782617459808141;0.2961198665784298
ssn-REGNET;30.0;20.0;10.0;traffic_cone;4.0;0.3412608138164759;0.35853708505638776
ssn-REGNET;30.0;20.0;10.0;barrier;0.5;0.3161057946187705;0.3294291389868541
ssn-REGNET;30.0;20.0;10.0;barrier;1.0;0.5410789955797973;0.5570854531917058
ssn-REGNET;30.0;20.0;10.0;barrier;2.0;0.6351910939750923;0.6554518473693436
ssn-REGNET;30.0;20.0;10.0;barrier;4.0;0.6693620173895785;0.6876078239778095
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
ssn-REGNET;30.0;20.0;10.0;car;0.5;0.7160088356450904;0.790549976766479
ssn-REGNET;30.0;20.0;10.0;car;1.0;0.8374978701712426;0.8879959167506233
ssn-REGNET;30.0;20.0;10.0;car;2.0;0.8754993043108241;0.9161145739879378
ssn-REGNET;30.0;20.0;10.0;car;4.0;0.889050485074167;0.9262555667200246
ssn-REGNET;30.0;20.0;10.0;truck;0.5;0.3213300032875867;0.3770792918831184
ssn-REGNET;30.0;20.0;10.0;truck;1.0;0.5091272530655118;0.5575441297869511
ssn-REGNET;30.0;20.0;10.0;truck;2.0;0.6095554277316354;0.6589123813165904
ssn-REGNET;30.0;20.0;10.0;truck;4.0;0.6435805364656679;0.6825540584119588
ssn-REGNET;30.0;20.0;10.0;bus;0.5;0.3300148490768344;0.46448310853438424
ssn-REGNET;30.0;20.0;10.0;bus;1.0;0.5960687950586748;0.7118571784015107
ssn-REGNET;30.0;20.0;10.0;bus;2.0;0.7568793673325642;0.8136951654151778
ssn-REGNET;30.0;20.0;10.0;bus;4.0;0.7856308185944133;0.8381863635197095
ssn-REGNET;30.0;20.0;10.0;trailer;0.5;0.03460139904043608;0.09098265184941236
ssn-REGNET;30.0;20.0;10.0;trailer;1.0;0.25482703077150615;0.3537109496528195
ssn-REGNET;30.0;20.0;10.0;trailer;2.0;0.44396845960303355;0.5239371099170161
ssn-REGNET;30.0;20.0;10.0;trailer;4.0;0.55077593462729;0.5838753599764224
ssn-REGNET;30.0;20.0;10.0;construction_vehicle;0.5;0.0018588296863043612;0.006705844992845764
ssn-REGNET;30.0;20.0;10.0;construction_vehicle;1.0;0.10117749467870671;0.13658353217356167
ssn-REGNET;30.0;20.0;10.0;construction_vehicle;2.0;0.24465975701317563;0.3115331579322027
ssn-REGNET;30.0;20.0;10.0;construction_vehicle;4.0;0.29901456269605686;0.3584751289067431
ssn-REGNET;30.0;20.0;10.0;pedestrian;0.5;0.674615605015577;0.6843099117463999
ssn-REGNET;30.0;20.0;10.0;pedestrian;1.0;0.6905526415133698;0.7006774226183932
ssn-REGNET;30.0;20.0;10.0;pedestrian;2.0;0.709183979909731;0.7193113222829449
ssn-REGNET;30.0;20.0;10.0;pedestrian;4.0;0.73057560701576;0.7408309930555582
ssn-REGNET;30.0;20.0;10.0;motorcycle;0.5;0.4108102151098708;0.4871380215255764
ssn-REGNET;30.0;20.0;10.0;motorcycle;1.0;0.49196702790084335;0.5558418211728712
ssn-REGNET;30.0;20.0;10.0;motorcycle;2.0;0.5018737382791923;0.5641203795099237
ssn-REGNET;30.0;20.0;10.0;motorcycle;4.0;0.5090979983559084;0.5728926151928303
ssn-REGNET;30.0;20.0;10.0;bicycle;0.5;0.19280216532027827;0.2137747337219942
ssn-REGNET;30.0;20.0;10.0;bicycle;1.0;0.2202265985894803;0.24432529881031834
ssn-REGNET;30.0;20.0;10.0;bicycle;2.0;0.22795309343147993;0.2516700821352435
ssn-REGNET;30.0;20.0;10.0;bicycle;4.0;0.24955574869526143;0.27658989708486303
ssn-REGNET;30.0;20.0;10.0;traffic_cone;0.5;0.2222316538786157;0.2392186862865693
ssn-REGNET;30.0;20.0;10.0;traffic_cone;1.0;0.2451013362269289;0.26312167419431703
